"id","name","alt_name","photo","description","created_at","updated_at"
"105","Айзек Марион",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"106","Айзек Флорентайн",,," ","2000-01-00 00:00:00","2018-07-09 16:38:39"
"107","Айн Рэнд",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"108","Айра Левин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"109","Айра Сакс",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"110","Ирен Меччи",,," ","2000-01-00 00:00:00","2019-02-12 09:19:25"
"111","Айрис Мердок",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"112","Аки Каурисмяки",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"113","Ншути Гатва",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"114","Акиба Гольбурт",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"115","Акива Голдсман",,,"Акива Голдсман&nbsp;&mdash; американский кино&nbsp;&mdash; и телевизионный сценарист, режиссёр и продюсер. Обладатель награды Американской киноакадемии за лучший адаптированный сценарий к фильму &laquo;Игры разума&raquo;, также получившему &laquo;Оскар&raquo; за лучший фильм.","2000-01-00 00:00:00","2018-05-31 13:05:24"
"116","Акива Шаффер",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"117","Акира Куросава",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"118","Акиуки Носака",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"119","Аксельссон Майгулль",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"120","Эмма Маккей",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"121","Алан Б. Макэлрой",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"122","Алан Бадоев",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"123","Коннор Суинделлс",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"124","Алан Брэдли",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"125","Алан Гарнер",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"126","Алан Глинн",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"127","Алан Дж. Пакула",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"128","Алан Дж. Скулкрафт",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"129","Алан Кни",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"130","Алан Кубатиев",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"131","Алан Кьюбитт",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"132","Алан Майерсон",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"133","Алан Маршалл",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"134","Алан Меттер",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"135","Алан Милн",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"136","Алан Мур",,," ","2000-01-00 00:00:00","2018-07-16 17:03:56"
"137","Кедар Уильямс-Стирлинг",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"138","Алан Паркер",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"139","Алан Пол",,,,"2000-01-00 00:00:00","2020-07-06 15:50:42"
"140","Алан Р. Коэн",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"141","Алан Смит",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"142","Алан Смити",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"143","Алан Трастман",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"144","Алистэр Петри",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"145","Алан Ферст",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"146","Алан Дин Фостер",,," ","2000-01-00 00:00:00","2019-08-25 12:36:41"
"147","Алан Фрилэнд",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"148","Алан Холлингхерст",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"149","Алан Цвабель",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"150","Алан Черчесов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"151","Алек Берг",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"152","Алек Болдуин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"153","Алек Кешишьян",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"154","Алек Кешишян",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"155","Алек Коппел",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"156","Алек Салкин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"157","Алек Соколов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"158","Алеко Цабадзе",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"159","Алекс Боден",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"160","Алекс ван Вармердам",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"161","Алекс Гарленд",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"162","Алекс Грегори",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"163","Эйми Лу Вуд",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"164","Алекс Де Ла Иглесиа",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"165","Алекс Замм",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"166","Алекс Кендрик",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"167","Алекс Кокс",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"168","Алекс Кош",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"169","Алекс Куртцман",,," ","2000-01-00 00:00:00","2018-09-04 13:11:23"
"170","Алекс Ласкер",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"171","Алекс Лесли",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"172","Алекс Литвак",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"173","Алекс Орлов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"174","Алекс Пастор",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"175","Алекс Пройас",,," ","2000-01-00 00:00:00","2018-09-04 13:14:54"
"176","Алекс Тарн",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"177","Алекс Флинн",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"178","Алекс Холдридж",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"179","Алекс Экслер",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"180","Александр Аджа",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"181","Александр Ажа",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"182","Александр Александрович Алов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"183","Александр Александрович Муратов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"184","Александр Александрович Олейников",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"185","Александр Анатольевич Миндадзе",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"186","Александр Анатольевич Прошкин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"187","Александр Анисимов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"188","Александр Аркадьевич Белинский",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"189","Александр Аркадьевич Галич (Гинзбург)",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"190","Александр Артемович Адабашьян",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"191","Александр Артурович Роу",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"192","Александр Асмолов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"193","Александр Атанесян",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"194","Александр Афанасьев",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"195","Александр Байбородин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"196","Александр Баршак",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"197","Александр Бек",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"198","Александр Беляев",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"199","Александр Бережной",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"200","Таня Рейнольдс",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"201","Александр Блок",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"202","Александр Богданенко",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"203","Александр Богданов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"204","Дэниэл Грегор",,,,"2020-02-20 19:36:37","2020-02-20 19:36:37"
"205","Даг Мэнд",,,,"2020-02-20 19:36:37","2020-02-20 19:36:37"
"206","Александр Борисович Столпер",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"207","Александр Бородянский",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"208","Александр Боханов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"209","Александр Боярский",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"210","Александр Булкли",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"211","Александр Буравский",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"212","Александр Бушков",,," ","2000-01-00 00:00:00","2018-12-29 18:42:23"
"213","Джесси Бакли",,,,"2020-02-20 19:36:37","2020-02-20 19:36:37"
"214","Александр Варго",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"215","Александр Васильевич Ефремов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"216","Гарри Коллетт",,,,"2020-02-20 19:36:37","2020-02-20 19:36:37"
"217","Александр Велединский",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"218","Билл Иглз",,,,"2020-02-21 17:45:51","2020-02-21 17:45:51"
"219","Джейсон Кинг",,,,"2020-02-21 17:45:51","2020-02-21 17:45:51"
"220","Александр Владимирович Рогожкин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"221","Александр Войтинский",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"222","Александр Волков",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"223","Александр Воробьев",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"224","Александр Вороненко",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"225","Александр Гаврилович Иванов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"226","Александр Галин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"227","Мэттью Патник",,,,"2020-02-21 17:45:51","2020-02-21 17:45:51"
"228","Александр Генис",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"229","Александр Геннадьевич Бачило",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"230","Александр Георгиевич Дулерайн",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"231","Александр Герцен",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"232","Александр Гольдштейн",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"233","Александр Гоноровский",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"234","Александр Гордон",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"235","Александр Грассхофф",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"236","Питер Найтингейл",,,,"2020-02-21 17:45:51","2020-02-21 17:45:51"
"237","Александр Григоренко",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"238","Александр Григорьевич Зархи",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"239","Александр Грин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"240","Александр Гриценко",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"241","Александр Грищенко",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"242","Александр Громов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"243","Джек Бэннон",,,,"2020-02-21 17:45:51","2020-02-21 17:45:51"
"244","Александр Даруга",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"245","Александр де Ла Пательер",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"246","Александр Дихнов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"247","Александр Дмитриев",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"248","Александр Дорбинян",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"249","Александр Доставалов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"250","Александр Дюма отец",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"251","Палома Фэйт",,,,"2020-02-21 17:45:51","2020-02-21 17:45:51"
"252","Александр Дядищев",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"253","Александр Етоев",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"254","Александр Ефимович Разумный",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"255","Хэйнсли Ллойд Беннетт",,,,"2020-02-21 17:45:51","2020-02-21 17:45:51"
"256","Александр Житинский",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"257","Андерс Энгстрем",,,,"2020-02-21 17:52:29","2020-02-21 17:52:29"
"258","Александр Зайцев",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"259","Александр Замятин мл.",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"260","Александр Звонкин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"261","Александр Звягинцев",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"262","Александр Зельдович",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"263","Кристоффер Нюхольм",,,,"2020-02-21 17:52:30","2020-02-21 17:52:30"
"264","Чипс Харди",,,,"2020-02-21 17:52:30","2020-02-21 17:52:30"
"265","Александр Зорич",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"266","Александр и Сергей Абрамовы",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"267","Дин Бэйкер",,,,"2020-02-21 17:52:30","2020-02-21 17:52:30"
"268","Александр Иванович Васинский",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"269","Александр Иванович Карпов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"270","Александр Иванович Серый",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"271","Александр Игнон",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"272","Александр Иличевский",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"273","Александр Ильич Гинцбург",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"274","Александр Иншаков",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"275","Александр Ирвин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"276","Александр Исаакович Бланк",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"277","Александр Итыгилов мл.",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"278","Александр Кабаков",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"279","Александр Казанцев",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"280","Александр Казин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"281","Александр Калугин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"282","Александр Кананович",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"283","Александр Кастаньетти",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"284","Александр Ки",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"285","Александр Кириенко",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"286","Александр Ковальков",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"287","Кейт Кроу",,,,"2020-02-21 17:52:30","2020-02-21 17:52:30"
"288","Александр Котт",,," ","2000-01-00 00:00:00","2018-08-26 19:30:20"
"289","Александр Константинович Петров",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"290","Александр Конторович",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"291","Александр Копейкин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"292","Александр Корда",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"293","Александр Корольков",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"294","Александр Коскас",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"295","Уна Чаплин",,,,"2020-02-21 17:52:30","2020-02-21 17:52:30"
"296","Александр Ксенофонтов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"297","Александр Куприн",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"298","Александр Лазаревич",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"299","Александр Лапин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"300","Александр Лапшин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"301","Александр Леонардович Александров",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"302","Александр Литвиненко",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"303","Александр Лоскутов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"304","Александр Лукич Птушко",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"305","Джим Заб",,,,"2020-02-22 14:20:40","2020-02-22 14:20:40"
"306","Александр Львович Аравин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"307","Александр Касаткин",,," ","2000-01-00 00:00:00","2018-09-28 18:22:42"
"308","Александр Мазин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"309","Александр Маккендрик",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"310","Александр Маркин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"311","Александр Марков",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"312","Александр Марьямов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"313","Джефф Фаулер",,,,"2020-02-22 14:51:47","2020-02-22 14:51:47"
"314","Александр Мельник",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"315","Джош Миллер",,,,"2020-02-22 14:51:47","2020-02-22 14:51:47"
